EntrezGeneSymbol,Var_subject,Var_resid,ICC,stable
SEC23B,422078.3279397037,19327.768601991716,0.956213181572661,TRUE
LDLRAD4,78029.81122259135,3581.307321344235,0.9561174091810023,TRUE
CFHR2,2942564.263503661,135353.35267980603,0.956024374412061,TRUE
PPP2R3B,2731304.0627683476,125668.4113915854,0.9560134329160671,TRUE
C3orf80,309862.0739534953,14267.017930722404,0.9559835315991361,TRUE
KCTD4,37027.43723659997,1707.3939917154646,0.9559209647345166,TRUE
TMEM266,6026621.818244053,280154.2379740301,0.9555788511472806,TRUE
DAO,489606.61395807937,22795.64122270656,0.9555122152718399,TRUE
ADAM7,45267.81333740306,2109.8293231222856,0.9554678281855468,TRUE
UBL4B,14001.659173823557,652.7986634940287,0.9554539191595559,TRUE
TP53TG5,9834.825010651228,458.7713311097683,0.9554313851177029,TRUE
SOSTDC1,19882.41169061473,927.6599955036429,0.9554225468563642,TRUE
NCBP2,464030.2798617272,21688.72989478171,0.9553471668616506,TRUE
PGK2,81491.21512558738,3808.9359814380437,0.9553466678311155,TRUE
TGFBR2,439329.3656716152,20645.813233096214,0.9551153753942597,TRUE
DEFB128,116269.87855680434,5487.737973294518,0.9549289963972157,TRUE
C1GALT1C1|C1GALT1,41226.93617911536,1961.9806571236754,0.954572126349846,TRUE
MICA,22020.862830581984,1049.5466615374849,0.9545068039691278,TRUE
C8B,1474648.7842294776,70524.71165472669,0.9543580628048698,TRUE
PPP1R1A,436974.27182236227,20912.04656388782,0.95432917358704,TRUE
LTBP2,102717363.63313378,4917155.791210909,0.9543161820435578,TRUE
DDX50,180905.88716847185,8681.924623865109,0.9542063145210264,TRUE
CSDE1,242880.52228769287,11670.097275708664,0.9541541195392692,TRUE
ACLY,19293.44135520082,927.8493287409485,0.954115227200716,TRUE
PIM2,72675.04192356217,3508.3226492259155,0.9539489668262952,TRUE
BEX3,3865.1488270403916,186.6779990692683,0.9539274487580935,TRUE
FCGR1B|FCGR1BP,17410.199999285782,840.9973291477202,0.9539209776753915,TRUE
LYPD6B,51730.753998067594,2512.256654039945,0.9536851545694518,TRUE
OTOR,7630976.539325901,371796.0354512138,0.9535415967432301,TRUE
TFEC,3691.9613809707207,180.02199909154206,0.9535065155448453,TRUE
